name,Solver,time_limit,energy,num_satellites
12_10,NL Solver initial state,30,47.12607690949415,12
12_10,NL Solver initial state,60,47.12607690949415,12
15_0,NL Solver initial state,5,45.591571354700086,15
15_0,NL Solver initial state,30,45.591571354700086,15
15_0,NL Solver initial state,60,45.591571354700086,15
15_1,NL Solver initial state,5,44.79745636443903,15
15_1,NL Solver initial state,30,46.32526197055608,15
15_1,NL Solver initial state,60,46.32526197055608,15
15_2,NL Solver initial state,5,44.4673047818372,15
15_2,NL Solver initial state,30,44.46730478183723,15
15_2,NL Solver initial state,60,44.4673047818372,15
15_3,NL Solver initial state,5,45.05533037116522,15
15_3,NL Solver initial state,30,45.05533037116522,15
15_3,NL Solver initial state,60,45.05533037116522,15
15_4,NL Solver initial state,5,41.24346986729364,15
15_4,NL Solver initial state,30,41.24346986729364,15
15_4,NL Solver initial state,60,41.24346986729364,15
15_5,NL Solver initial state,5,43.996782962085945,15
15_5,NL Solver initial state,30,43.996782962085945,15
